time,{dmodel}.dmodel.state,{dmodel}.dmodel.d_model_event,{dmodel}.dmodel.d_model_event_args_0,{dmodel}.dmodel.d_model_event_args_1,{dmodel}.dmodel.d_model_event_args_2,{dmodel}.dmodel.d_model_event_args_3,{mapping}.mapping.controller_event,{mapping}.mapping.j0,{mapping}.mapping.j1,{mapping}.mapping.j2,{mapping}.mapping.j3,{mapping}.mapping.j4,{mapping}.mapping.j5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{mapping}.mapping.d_model_event,{mapping}.mapping.output_event,{mapping}.mapping.output_event_args_0,{mapping}.mapping.output_event_args_1,{mapping}.mapping.output_event_args_2,{mapping}.mapping.platform_event_0,{mapping}.mapping.platform_event_1,{mapping}.mapping.platform_event_2,{mapping}.mapping.platform_event_3,{mapping}.mapping.platform_event_4,{mapping}.mapping.platform_event_5,{mapping}.mapping.platform_event_6,{mapping}.mapping.platform_event_7,{mapping}.mapping.platform_event_8,{mapping}.mapping.platform_event_9,{controller}.controller.controller_event,{controller}.controller.controller_event_args_0,{controller}.controller.controller_event_args_1,{controller}.controller.controller_event_args_2
10.0,ArmMove,movediscrete,5.0,5.0,2.0,0.0,,-1.98340928142723,-1.2601730160620885,1.2146087280302256,-1.476664393011168,-1.5707963388032757,2.705506808528752,-9.823028896955269E-4,0.6143314338791638,-1.217540255803139,8.571874516856204E-5,-5.279776615904693E-8,-4.639992035035803E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.00477710378659209,15.624045920914408,4.868198650175851,0.10235078321790621,1.0686441857394878E-4,-6.541465492473279,movediscrete,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
10.5,ArmStop,stop,5.0,5.0,2.0,0.0,,-2.0069920132721775,-0.7882695980026795,0.6917881715646952,-1.4743117971986575,-1.570796341366668,2.7053885614644555,-4.394642871827753E-7,-3.393065588495543E-5,-8.881784196996708E-14,-1.48880191197444E-4,1.9438139986495175E-8,-3.6227287836236084E-7,0.0,0.0,0.0,0.0,0.0,0.0,-0.009302563454705867,16.390267423768442,5.151756158007875,0.18625247930349167,1.1524304504478982E-4,-6.7978966575564765,movediscrete,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
11.0,ArmStop,stop,5.0,5.0,2.0,0.0,,-2.006991967148018,-0.7882692597490886,0.6917881715646965,-1.4743091266570243,-1.570796343379202,2.70538855881322,-2.2114754472102105E-7,-2.2259336596152916E-5,0.0,1.4100600846937432E-4,-1.2051035724874256E-7,-3.465242315312981E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.09796260400301707,16.378466756818018,5.146142179695818,0.18667084157705358,1.1028922536804062E-4,-7.315315505705287,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
11.5,ArmStop,stop,5.0,5.0,2.0,0.0,,-2.0069920184057617,-0.7882703182450426,0.6917881715646961,-1.4743104533321825,-1.5707963404676386,2.705388552047192,7.699897608400233E-7,-3.205016270156372E-5,0.0,1.5598921407892E-4,6.039613253957762E-12,-3.4097649148617E-7,0.0,0.0,0.0,0.0,0.0,0.0,-0.23597310139803232,16.385964317064616,5.144420950636053,0.18642632196720924,8.917746053012112E-5,-7.300584441899471,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
12.0,ArmStop,stop,5.0,5.0,2.0,0.0,,-2.0069920416718405,-0.7882696977886887,0.6917881715646952,-1.4743108190770924,-1.5707963424718239,2.705388559054259,2.676969756974808E-7,-3.214956389994715E-5,0.0,1.514941171620101E-4,1.0550511575496844E-7,-4.4156660550220443E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.9070218626585467,16.370500934435686,5.147030030630075,0.1820732228397616,1.1608182776962803E-4,-6.644877405717649,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
12.5,ArmStop,stop,5.0,5.0,2.0,0.0,,-2.0069919247990464,-0.7882695060222638,0.6917881715646952,-1.474311104854868,-1.570796342759091,2.7053885662720676,3.0365043812692347E-9,3.326671862423044E-5,0.0,-1.2315025372793638E-4,4.1644554471510284E-8,-5.516760381848959E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.05480809304261759,16.392880303688777,5.140233988491493,0.1671245114330308,7.428667125818788E-5,-7.633186417182751,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
13.0,ArmStop,stop,5.0,5.0,2.0,0.0,,-2.006992009101846,-0.7882695231375596,0.6917881715646965,-1.4743109135291137,-1.5707963418253668,2.705388558378874,-6.397975482738185E-8,3.502237779782631E-5,0.0,9.250271055800382E-5,6.686278197772698E-8,4.505096740101604E-7,0.0,0.0,0.0,0.0,0.0,0.0,-0.0560819233413701,16.39365005343267,5.145513490630721,0.16860166522061915,7.63322721516462E-5,-7.157186599043929,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,moveDiscreteCommand,4.0,1.0,1.0
13.5,ArmStop,stop,5.0,5.0,2.0,0.0,moveDiscreteCommand,-2.006991936249027,-0.7882699148125738,0.6917881715646956,-1.474311811033691,-1.570796341304196,2.7053885534255695,-7.905928356417965E-7,-5.5297805356929206E-5,-8.881784196996708E-14,-1.3291224725257982E-4,1.0455956100935617E-7,-3.746382759571036E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.27483235244470705,16.372996342921986,5.134465426558929,0.1690742124536253,7.86126116642361E-5,-6.393402615323998,stop,moveDiscreteCommand,4.0,1.0,1.0,true,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
14.0,ArmMove,movediscrete,4.0,1.0,1.0,0.0,,-2.0069919414617923,-0.7882696833704212,0.6917881715646956,-1.4743110133810768,-1.570796343274866,2.7053885546059684,-1.354543321951258E-6,-4.4056321879515025E-5,-8.881784196996708E-14,1.698383034209014E-5,-7.028919668524437E-8,3.7744491976335454E-7,0.0,0.0,0.0,0.0,0.0,0.0,-0.4205844479841888,16.385359267228672,5.145701444478421,0.17908313467462217,1.0942268317646882E-4,-6.878678478486451,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,true,false,false,,0.0,0.0,0.0
14.5,ArmMove,movediscrete,4.0,1.0,1.0,0.0,,-2.0699937285653416,-0.9436055082876322,0.9274007188640736,-1.7884492471316813,-1.5707959629282309,2.602036158877614,-0.0016381195328199428,-1.570736913331401,1.5707499980924091,-0.019991811171838667,7.115737332693241E-7,-3.429669384045675E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.253234049266309,11.157167178875003,12.782361208004781,60.77138159485912,0.008236571638276218,-6.602923948700003,movediscrete,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
